"_id","code","name","semester","course","active","__v","createdAt","updatedAt"
"62133f9eeda52dc24a136fc9","ITCC111","Computer Programming 1 edited (Lec)","First Term","[object Object]","true","0","2022-02-21T07:30:38.544Z","2022-03-14T06:46:28.699Z"
"62133f9eeda52dc24a136fcb","DRAW","Engineering Drawing and Plans","First Term","[object Object]","true","0","2022-02-21T07:30:38.545Z","2022-03-11T14:47:20.021Z"
"62133f9eeda52dc24a136fcd","ITCC110","Introduction to Computing Edited na","First Term","[object Object]","true","0","2022-02-21T07:30:38.545Z","2022-03-03T16:16:56.320Z"
"62133f9eeda52dc24a136fce","MATHB-T","Mathematics (Pre-Calculus) EDITED BA","null","[object Object]","true","0","2022-02-21T07:30:38.546Z","2022-03-03T16:17:30.816Z"
"62133f9eeda52dc24a136fcf","NSTP1-NS-T","National Service Training Program 1 (Naval Science 1)","null","[object Object],[object Object]","true","0","2022-02-21T07:30:38.546Z","2022-02-21T07:30:38.546Z"
"62133f9eeda52dc24a136fd1","PE1","Physical Fitness & Exercise","First Term","[object Object]","true","0","2022-02-21T07:30:38.546Z","2022-02-21T07:30:38.546Z"
"62133f9eeda52dc24a136fd4","ITCC122-T","Computer Programming 2 (lec/lab)","Second Term","[object Object]","true","0","2022-02-21T07:30:38.547Z","2022-02-21T07:30:38.547Z"
"62133f9eeda52dc24a136fd8","NSTP2-CWTS-T","National Service Training Program 2 (CWTS2)","Second Term","[object Object]","true","0","2022-02-21T07:30:38.548Z","2022-02-21T07:30:38.548Z"
"62133f9eeda52dc24a136fe1","PHYSB-T","General Physics (lec/lab)","null","[object Object]","true","0","2022-02-21T07:30:38.549Z","2022-02-21T07:30:38.549Z"
"62133f9eeda52dc24a136fe2","ITLC130-130L-T","Logic and Digital Circuit Design (lec/lab)","Third Term","[object Object]","true","0","2022-02-21T07:30:38.549Z","2022-02-21T07:30:38.549Z"
"62133f9eeda52dc24a136fe3","PE3-T","Rhythmic Activities","Third Term","[object Object]","true","0","2022-02-21T07:30:38.549Z","2022-02-21T07:30:38.549Z"
